scintillator,length[mm],width[mm],SiPMs,HV [V],cfd-threshold [mV],efficiency [%],time-res([L+R]/2) [ps]
BC422,100,5,S13360-3050PE,55,-30,99.4,60
BC422,100,5,S12572-025P,69,-10,99.8,99
BC422,100,5,S13360-3025PE,57,-10,99.5,94
EJ204 coated,100,5,S12572-025P,69,-20,99.2,114
EJ204,100,5,AdvanSiD,30,-100,96.2,70
BC422,100,8,S13360-3050PE,110,-40,99.9,53
BC422,100,8,S12572-025P,138,-10,99.9,74
BC422,100,8,S13360-3025PE,114,-10,99.9,78
BC422,100,5,AdvanSiD,30,-30,88.9,88
BC420,100,5,AdvanSiD,30,-40,99.5,79
BC420,100,5,S13360-3050PE,55,-40,99.7,77
EJ204,100,5,S12572-025P,,-10,99.9,80
BC422 12um AirGap,100,5,S13360-3050PE,55,-10,99.5,77
"BC422 6um Air,6um Al-Milar",100,5,S13360-3050PE,55,-15,99,75
EJ204,100,5,S13360-3050PE,,,,80
EJ204,100,8,S13360-3050PE,,,,67
BC404,161.5,5,AdvanSiD,,,,78
BC404,161.5,5,S13360-3050PE,,,,87
BC418,161.5,5,S13360-3050PE,,,,85
BC420,161.5,5,S13360-3050PE,,,,86
BC422,161.5,5,S13360-3050PE,,,,91
BC404,161.5,8,AdvanSiD,,,,65
BC404,161.5,8,S13360-3050PE,,,,67
BC418,161.5,8,S13360-3050PE,,,,64
BC420,161.5,8,S13360-3050PE,,,,77
BC422,161.5,8,S13360-3050PE,,,,75
,,,,,,,
,,,,,,,