scintillator,width[mm],SiPMs,HV [V],cfd-threshold [mV],efficiency [%],time-res([L+R]/2) [ps]
BC422,5,S13360-3050PE,55,-10,99.4,73
BC422,5,S13360-3050PE,55,-20,99.4,72
BC422,5,S13360-3050PE,55,-30,99.4,60
BC422,5,S13360-3050PE,55,-40,99.4,63
BC422,5,S13360-3050PE,55,-50,99.4,66
BC422,5,S12572-3025PE,69,-10,99.8,99
BC422,5,S12572-3025PE,69,-20,98.8,99
BC422,5,S12572-3025PE,69,-30,92,105
BC422,5,S12572-3025PE,69,-40,92,112
BC422,5,S13360-3025PE,57,-10,99.5,94
BC422,5,S13360-3025PE,57,-20,92.1,103
BC422,5,S13360-3025PE,57,-30,61.7,108
BC422,5,S13360-3025PE,57,-40,61.7,98
EJ204 coated,5,S12572-025P,69,-10,99.6,115
EJ204 coated,5,S12572-025P,69,-20,99.2,114
EJ204 coated,5,S12572-025P,69,-30,96.2,116
EJ204 coated,5,S12572-025P,69,-40,96.2,147
EJ204,5,AvanSiD,30,-100,96.2,68
BC422,8,S13360-3050PE,110,-20,99.9,58
BC422,8,S13360-3050PE,110,-30,99.9,53
BC422,8,S13360-3050PE,110,-40,99.9,53
BC422,8,S12572-025P,138,-10,99.9,74
BC422,8,S12572-025P,138,-20,99.9,75
BC422,8,S12572-025P,138,-30,98.5,77
BC422,8,S12572-025P,138,-40,90.3,82
BC422,8,S13360-3025E,114,-10,99.9,78
BC422,8,S13360-3025E,114,-20,96.9,81
BC422,8,S13360-3025E,114,-30,80.8,90
BC422,5,AvanSiD,30,-5,99.4,90
BC422,5,AvanSiD,30,-10,99.4,88
BC422,5,AvanSiD,30,-20,97.5,85
BC422,5,AvanSiD,30,-30,88.9,85
BC422,5,AvanSiD,30,-40,69.9,87
BC420,5,AvanSiD,30,-5,98.6,85
BC420,5,AvanSiD,30,-10,98.8,83
BC420,5,AvanSiD,30,-20,99.4,81
BC420,5,AvanSiD,30,-30,99.4,80
BC420,5,AvanSiD,30,-40,99.5,79
BC420,5,AvanSiD,30,-50,99.3,79
BC420,5,AvanSiD,30,-60,98.5,78
BC420,5,AvanSiD,30,-70,96.6,78
BC420,5,S13360-3050PE,55,-10,99.5,86
BC420,5,S13360-3050PE,55,-20,99.6,84
BC420,5,S13360-3050PE,55,-30,99.7,81
BC420,5,S13360-3050PE,55,-40,99.7,77
BC420,5,S13360-3050PE,55,-50,99.6,83
BC420,5,S13360-3050PE,55,-60,99.2,82
BC420,5,S13360-3050PE,55,-70,98.2,81
EJ204-dec,5,S12572-025C,,-10,99.9,86
EJ204-may,5,S12572-025C,,-10,99.9,77
EJ204-july,5,S12572-025C,,-10,99.9,80
BC422,5,S13360-3050PE,,-10,99.4,76
EJ204-dec,5,AvanSiD,,-10,99.8,94
EJ204-may,5,AvanSiD,,-10,99.8,68